,CODIGO JDE,NOMBRE,UNIDAD,CANTIDAD,NODO,ZONA,MUNICIPIO,PROG
0,211377,"GRAPA BAND IT 5/8""",UND,36.0,N43041,NORTE,AGUADAS,2019
1,211371,"CINTA BAND IT 5/8""",M,21.0,N43041,NORTE,AGUADAS,2019
2,219359,CINTA AISLANTE TEMFLEX 1500,UND,0.02,N43041,NORTE,AGUADAS,2019
3,4857,SOPORTE PARA CAJA METALICA,UND,2.0,N43041,NORTE,AGUADAS,2019
4,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,5.0,N43041,NORTE,AGUADAS,2019
5,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,6.0,N43041,NORTE,AGUADAS,2019
6,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,7.0,N43041,NORTE,AGUADAS,2019
7,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,7.0,N43041,NORTE,AGUADAS,2019
8,200002,POSTE CENTRIFUGADO 8 M,UND,3.0,N43041,NORTE,AGUADAS,2019
9,211319,PERCHAS 1 PUESTO,UND,30.0,N43041,NORTE,AGUADAS,2019
10,211401,GUARDACABOS 1/2,UND,7.0,N43041,NORTE,AGUADAS,2019
11,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,6.0,N43041,NORTE,AGUADAS,2019
13,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,7.0,N43041,NORTE,AGUADAS,2019
15,212853,CONECTOR DBH-8,UND,17.0,N43041,NORTE,AGUADAS,2019
16,212846,CONECTOR DBH-4,UND,10.0,N43041,NORTE,AGUADAS,2019
17,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,22.0,N43041,NORTE,AGUADAS,2019
18,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,7.0,N43041,NORTE,AGUADAS,2019
19,200151,"AISLADOR YOYO 3""",UND,30.0,N43041,NORTE,AGUADAS,2019
20,200411,CABLE CU CONCENTRICO No. 2 X 8 + 8,M,6.0,N43041,NORTE,AGUADAS,2019
21,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,44.0,N43041,NORTE,AGUADAS,2019
22,200472,CABLE ACSR No. 2,M,1.4,N43041,NORTE,AGUADAS,2019
23,200417,CABLE CU DD No. 4,M,0.8,N43041,NORTE,AGUADAS,2019
24,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,131.0,N43041,NORTE,AGUADAS,2019
25,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,220.0,N43041,NORTE,AGUADAS,2019
26,200497,CABLE DUPLEX AL No. 2 X 2,M,14.0,N43041,NORTE,AGUADAS,2019
27,200316,ALAMBRE CU 8AWG NEGRO,M,33.0,N43041,NORTE,AGUADAS,2019
28,214271,HEBILLA PLASTICA 15 CM,UND,15.0,N43041,NORTE,AGUADAS,2019
29,219144,HEBILLA PLASTICA 25 CM,UND,22.0,N43041,NORTE,AGUADAS,2019
30,2507,CHAZO O RAMPLUG,UND,16.0,N43041,NORTE,AGUADAS,2019
31,211377,"GRAPA BAND IT 5/8""",UND,24.0,N43033,NORTE,AGUADAS,2019
32,211371,"CINTA BAND IT 5/8""",M,13.5,N43033,NORTE,AGUADAS,2019
34,211620,CAJA PORTABORNERA DE ACOMETIDAS BIFASICA ,UND,3.0,N43033,NORTE,AGUADAS,2019
35,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,30.0,N43033,NORTE,AGUADAS,2019
36,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,3.0,N43033,NORTE,AGUADAS,2019
37,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,12.0,N43033,NORTE,AGUADAS,2019
38,200076,POSTE METALICO 8*510,UND,5.0,N43033,NORTE,AGUADAS,2019
39,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,12.0,N43033,NORTE,AGUADAS,2019
40,200002,POSTE CENTRIFUGADO 8 M,UND,1.0,N43033,NORTE,AGUADAS,2019
41,211319,PERCHAS 1 PUESTO,UND,18.0,N43033,NORTE,AGUADAS,2019
42,211401,GUARDACABOS 1/2,UND,12.0,N43033,NORTE,AGUADAS,2019
43,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,3.0,N43033,NORTE,AGUADAS,2019
44,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,46.0,N43033,NORTE,AGUADAS,2019
46,212853,CONECTOR DBH-8,UND,37.0,N43033,NORTE,AGUADAS,2019
47,212846,CONECTOR DBH-4,UND,8.0,N43033,NORTE,AGUADAS,2019
48,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,15.0,N43033,NORTE,AGUADAS,2019
49,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,12.0,N43033,NORTE,AGUADAS,2019
50,200151,"AISLADOR YOYO 3""",UND,18.0,N43033,NORTE,AGUADAS,2019
51,200411,CABLE CU CONCENTRICO No. 2 X 8 + 8,M,11.0,N43033,NORTE,AGUADAS,2019
52,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,265.0,N43033,NORTE,AGUADAS,2019
53,200472,CABLE ACSR No. 2,M,10.85,N43033,NORTE,AGUADAS,2019
55,200417,CABLE CU DD No. 4,M,6.2,N43033,NORTE,AGUADAS,2019
56,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,159.0,N43033,NORTE,AGUADAS,2019
57,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,250.0,N43033,NORTE,AGUADAS,2019
58,214271,HEBILLA PLASTICA 15 CM,UND,120.0,N43033,NORTE,AGUADAS,2019
59,219144,HEBILLA PLASTICA 25 CM,UND,138.0,N43033,NORTE,AGUADAS,2019
60,2507,CHAZO O RAMPLUG,UND,124.0,N43033,NORTE,AGUADAS,2019
61,211377,"GRAPA BAND IT 5/8""",UND,27.0,N43027,NORTE,AGUADAS,2019
62,211371,"CINTA BAND IT 5/8""",M,13.5,N43027,NORTE,AGUADAS,2019
63,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,6.0,N43027,NORTE,AGUADAS,2019
64,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,2.0,N43027,NORTE,AGUADAS,2019
65,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,3.0,N43027,NORTE,AGUADAS,2019
66,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,3.0,N43027,NORTE,AGUADAS,2019
67,200002,POSTE CENTRIFUGADO 8 M,UND,3.0,N43027,NORTE,AGUADAS,2019
68,211319,PERCHAS 1 PUESTO,UND,27.0,N43027,NORTE,AGUADAS,2019
69,211401,GUARDACABOS 1/2,UND,3.0,N43027,NORTE,AGUADAS,2019
70,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,2.0,N43027,NORTE,AGUADAS,2019
71,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,51.0,N43027,NORTE,AGUADAS,2019
73,212853,CONECTOR DBH-8,UND,36.0,N43027,NORTE,AGUADAS,2019
74,212846,CONECTOR DBH-4,UND,6.0,N43027,NORTE,AGUADAS,2019
75,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,22.0,N43027,NORTE,AGUADAS,2019
76,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,3.0,N43027,NORTE,AGUADAS,2019
77,200151,"AISLADOR YOYO 3""",UND,27.0,N43027,NORTE,AGUADAS,2019
78,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,127.0,N43027,NORTE,AGUADAS,2019
79,200472,CABLE ACSR No. 2,M,11.2,N43027,NORTE,AGUADAS,2019
80,200417,CABLE CU DD No. 4,M,6.4,N43027,NORTE,AGUADAS,2019
81,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,51.0,N43027,NORTE,AGUADAS,2019
82,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,412.0,N43027,NORTE,AGUADAS,2019
83,200497,CABLE DUPLEX AL No. 2 X 2,M,30.0,N43027,NORTE,AGUADAS,2019
84,214271,HEBILLA PLASTICA 15 CM,UND,153.0,N43027,NORTE,AGUADAS,2019
85,219144,HEBILLA PLASTICA 25 CM,UND,63.5,N43027,NORTE,AGUADAS,2019
86,2507,CHAZO O RAMPLUG,UND,24.0,N43027,NORTE,AGUADAS,2019
87,211377,"GRAPA BAND IT 5/8""",UND,27.0,N43000,NORTE,AGUADAS,2019
88,201062,FOTOCELDA ALUMBRADO PUBLICO,UND,2.0,N43000,NORTE,AGUADAS,2019
89,211371,"CINTA BAND IT 5/8""",M,16.5,N43000,NORTE,AGUADAS,2019
90,219359,CINTA AISLANTE TEMFLEX 1500,UND,0.02,N43000,NORTE,AGUADAS,2019
91,4857,SOPORTE PARA CAJA METALICA,UND,2.0,N43000,NORTE,AGUADAS,2019
93,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,18.0,N43000,NORTE,AGUADAS,2019
94,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,6.0,N43000,NORTE,AGUADAS,2019
95,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,8.0,N43000,NORTE,AGUADAS,2019
96,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,8.0,N43000,NORTE,AGUADAS,2019
97,200002,POSTE CENTRIFUGADO 8 M,UND,2.0,N43000,NORTE,AGUADAS,2019
98,211319,PERCHAS 1 PUESTO,UND,21.0,N43000,NORTE,AGUADAS,2019
99,211401,GUARDACABOS 1/2,UND,8.0,N43000,NORTE,AGUADAS,2019
100,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,6.0,N43000,NORTE,AGUADAS,2019
102,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,42.0,N43000,NORTE,AGUADAS,2019
105,212853,CONECTOR DBH-8,UND,36.0,N43000,NORTE,AGUADAS,2019
106,212846,CONECTOR DBH-4,UND,8.0,N43000,NORTE,AGUADAS,2019
107,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,24.0,N43000,NORTE,AGUADAS,2019
108,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,8.0,N43000,NORTE,AGUADAS,2019
109,200151,"AISLADOR YOYO 3""",UND,21.0,N43000,NORTE,AGUADAS,2019
110,200411,CABLE CU CONCENTRICO No. 2 X 8 + 8,M,13.0,N43000,NORTE,AGUADAS,2019
111,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,182.0,N43000,NORTE,AGUADAS,2019
112,200472,CABLE ACSR No. 2,M,7.0,N43000,NORTE,AGUADAS,2019
113,200417,CABLE CU DD No. 4,M,4.0,N43000,NORTE,AGUADAS,2019
114,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,145.0,N43000,NORTE,AGUADAS,2019
115,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,415.0,N43000,NORTE,AGUADAS,2019
116,200316,ALAMBRE CU 8AWG NEGRO,M,33.0,N43000,NORTE,AGUADAS,2019
117,214271,HEBILLA PLASTICA 15 CM,UND,120.0,N43000,NORTE,AGUADAS,2019
118,219144,HEBILLA PLASTICA 25 CM,UND,94.5,N43000,NORTE,AGUADAS,2019
119,2507,CHAZO O RAMPLUG,UND,72.0,N43000,NORTE,AGUADAS,2019
120,211377,"GRAPA BAND IT 5/8""",UND,19.0,N43019,NORTE,AGUADAS,2019
121,211371,"CINTA BAND IT 5/8""",M,10.0,N43019,NORTE,AGUADAS,2019
122,211620,CAJA PORTABORNERA DE ACOMETIDAS BIFASICA ,UND,1.0,N43019,NORTE,AGUADAS,2019
123,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,28.0,N43019,NORTE,AGUADAS,2019
124,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,1.0,N43019,NORTE,AGUADAS,2019
125,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,3.0,N43019,NORTE,AGUADAS,2019
126,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,3.0,N43019,NORTE,AGUADAS,2019
127,211319,PERCHAS 1 PUESTO,UND,17.0,N43019,NORTE,AGUADAS,2019
128,211401,GUARDACABOS 1/2,UND,3.0,N43019,NORTE,AGUADAS,2019
129,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,1.0,N43019,NORTE,AGUADAS,2019
130,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,41.0,N43019,NORTE,AGUADAS,2019
132,212853,CONECTOR DBH-8,UND,26.0,N43019,NORTE,AGUADAS,2019
133,212846,CONECTOR DBH-4,UND,4.0,N43019,NORTE,AGUADAS,2019
134,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,12.0,N43019,NORTE,AGUADAS,2019
135,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,3.0,N43019,NORTE,AGUADAS,2019
136,200151,"AISLADOR YOYO 3""",UND,17.0,N43019,NORTE,AGUADAS,2019
137,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,235.0,N43019,NORTE,AGUADAS,2019
138,200472,CABLE ACSR No. 2,M,8.4,N43019,NORTE,AGUADAS,2019
140,200417,CABLE CU DD No. 4,M,4.8,N43019,NORTE,AGUADAS,2019
141,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,42.0,N43019,NORTE,AGUADAS,2019
142,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,236.0,N43019,NORTE,AGUADAS,2019
143,214271,HEBILLA PLASTICA 15 CM,UND,117.0,N43019,NORTE,AGUADAS,2019
144,219144,HEBILLA PLASTICA 25 CM,UND,117.5,N43019,NORTE,AGUADAS,2019
145,2507,CHAZO O RAMPLUG,UND,112.0,N43019,NORTE,AGUADAS,2019
146,211377,"GRAPA BAND IT 5/8""",UND,24.0,N43029,NORTE,AGUADAS,2019
147,211371,"CINTA BAND IT 5/8""",M,12.0,N43029,NORTE,AGUADAS,2019
148,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,26.0,N43029,NORTE,AGUADAS,2019
149,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,3.0,N43029,NORTE,AGUADAS,2019
150,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,7.0,N43029,NORTE,AGUADAS,2019
151,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,7.0,N43029,NORTE,AGUADAS,2019
152,200002,POSTE CENTRIFUGADO 8 M,UND,1.0,N43029,NORTE,AGUADAS,2019
153,211319,PERCHAS 1 PUESTO,UND,24.0,N43029,NORTE,AGUADAS,2019
154,211401,GUARDACABOS 1/2,UND,7.0,N43029,NORTE,AGUADAS,2019
155,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,3.0,N43029,NORTE,AGUADAS,2019
156,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,44.0,N43029,NORTE,AGUADAS,2019
158,212853,CONECTOR DBH-8,UND,32.0,N43029,NORTE,AGUADAS,2019
159,212846,CONECTOR DBH-4,UND,6.0,N43029,NORTE,AGUADAS,2019
160,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,8.0,N43029,NORTE,AGUADAS,2019
161,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,4.0,N43029,NORTE,AGUADAS,2019
162,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,7.0,N43029,NORTE,AGUADAS,2019
163,200151,"AISLADOR YOYO 3""",UND,24.0,N43029,NORTE,AGUADAS,2019
164,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,269.0,N43029,NORTE,AGUADAS,2019
165,200472,CABLE ACSR No. 2,M,9.1,N43029,NORTE,AGUADAS,2019
166,200417,CABLE CU DD No. 4,M,5.2,N43029,NORTE,AGUADAS,2019
167,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,104.0,N43029,NORTE,AGUADAS,2019
168,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,426.0,N43029,NORTE,AGUADAS,2019
169,200500,CABLE TRIPLEX AL 1/0 x 2 + 1/0,M,226.0,N43029,NORTE,AGUADAS,2019
170,200497,CABLE DUPLEX AL No. 2 X 2,M,148.0,N43029,NORTE,AGUADAS,2019
171,214271,HEBILLA PLASTICA 15 CM,UND,132.0,N43029,NORTE,AGUADAS,2019
172,219144,HEBILLA PLASTICA 25 CM,UND,134.5,N43029,NORTE,AGUADAS,2019
173,2507,CHAZO O RAMPLUG,UND,104.0,N43029,NORTE,AGUADAS,2019
174,211377,"GRAPA BAND IT 5/8""",UND,34.0,N43952,NORTE,AGUADAS,2019
175,211371,"CINTA BAND IT 5/8""",M,23.0,N43952,NORTE,AGUADAS,2019
176,219359,CINTA AISLANTE TEMFLEX 1500,UND,0.06,N43952,NORTE,AGUADAS,2019
177,4857,SOPORTE PARA CAJA METALICA,UND,6.0,N43952,NORTE,AGUADAS,2019
178,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,3.0,N43952,NORTE,AGUADAS,2019
179,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,3.0,N43952,NORTE,AGUADAS,2019
180,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,17.0,N43952,NORTE,AGUADAS,2019
181,200076,POSTE METALICO 8*510,UND,8.0,N43952,NORTE,AGUADAS,2019
182,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,17.0,N43952,NORTE,AGUADAS,2019
183,211319,PERCHAS 1 PUESTO,UND,16.0,N43952,NORTE,AGUADAS,2019
184,211401,GUARDACABOS 1/2,UND,17.0,N43952,NORTE,AGUADAS,2019
185,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,3.0,N43952,NORTE,AGUADAS,2019
187,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,3.0,N43952,NORTE,AGUADAS,2019
189,212853,CONECTOR DBH-8,UND,9.0,N43952,NORTE,AGUADAS,2019
190,212846,CONECTOR DBH-4,UND,4.0,N43952,NORTE,AGUADAS,2019
191,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,10.0,N43952,NORTE,AGUADAS,2019
192,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,17.0,N43952,NORTE,AGUADAS,2019
193,200151,"AISLADOR YOYO 3""",UND,16.0,N43952,NORTE,AGUADAS,2019
194,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,18.0,N43952,NORTE,AGUADAS,2019
195,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,214.0,N43952,NORTE,AGUADAS,2019
196,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,247.0,N43952,NORTE,AGUADAS,2019
197,200497,CABLE DUPLEX AL No. 2 X 2,M,758.0,N43952,NORTE,AGUADAS,2019
198,200369,CABLE CU THW No. 1/0,M,6.0,N43952,NORTE,AGUADAS,2019
199,200316,ALAMBRE CU 8AWG NEGRO,M,66.0,N43952,NORTE,AGUADAS,2019
200,211377,"GRAPA BAND IT 5/8""",UND,66.0,W37403,SUROCCIDENTE,VITERBO,2019
201,211371,"CINTA BAND IT 5/8""",M,48.0,W37403,SUROCCIDENTE,VITERBO,2019
202,219359,CINTA AISLANTE TEMFLEX 1500,UND,0.13999999999999999,W37403,SUROCCIDENTE,VITERBO,2019
203,4857,SOPORTE PARA CAJA METALICA,UND,14.0,W37403,SUROCCIDENTE,VITERBO,2019
204,211827,CAJA HERMETICA 1F O 2F SENCILLA,UND,7.0,W37403,SUROCCIDENTE,VITERBO,2019
205,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,4.0,W37403,SUROCCIDENTE,VITERBO,2019
206,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,15.0,W37403,SUROCCIDENTE,VITERBO,2019
207,200076,POSTE METALICO 8*510,UND,6.0,W37403,SUROCCIDENTE,VITERBO,2019
208,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,15.0,W37403,SUROCCIDENTE,VITERBO,2019
209,211319,PERCHAS 1 PUESTO,UND,24.0,W37403,SUROCCIDENTE,VITERBO,2019
210,211401,GUARDACABOS 1/2,UND,15.0,W37403,SUROCCIDENTE,VITERBO,2019
211,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,4.0,W37403,SUROCCIDENTE,VITERBO,2019
213,212944,CONECTOR PERF.AIS.2-3/0 AWG A 2-10 AWG,UND,8.0,W37403,SUROCCIDENTE,VITERBO,2019
215,212853,CONECTOR DBH-8,UND,15.0,W37403,SUROCCIDENTE,VITERBO,2019
216,212846,CONECTOR DBH-4,UND,7.0,W37403,SUROCCIDENTE,VITERBO,2019
217,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,14.0,W37403,SUROCCIDENTE,VITERBO,2019
218,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,15.0,W37403,SUROCCIDENTE,VITERBO,2019
219,200151,"AISLADOR YOYO 3""",UND,24.0,W37403,SUROCCIDENTE,VITERBO,2019
220,200411,CABLE CU CONCENTRICO No. 2 X 8 + 8,M,6.0,W37403,SUROCCIDENTE,VITERBO,2019
221,200410,CABLE CU CONCENTRICO No. 1 X 8 + 8,M,36.0,W37403,SUROCCIDENTE,VITERBO,2019
222,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,201.0,W37403,SUROCCIDENTE,VITERBO,2019
223,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,836.0,W37403,SUROCCIDENTE,VITERBO,2019
224,200497,CABLE DUPLEX AL No. 2 X 2,M,284.0,W37403,SUROCCIDENTE,VITERBO,2019
225,200369,CABLE CU THW No. 1/0,M,6.0,W37403,SUROCCIDENTE,VITERBO,2019
226,200316,ALAMBRE CU 8AWG NEGRO,M,165.0,W37403,SUROCCIDENTE,VITERBO,2019
227,219176,"PLATINA 2"" * 1/4"" * 0.2 M (54)",UND,2.0,W37403,SUROCCIDENTE,VITERBO,2019
229,211297,"BAYONETA 3""X1/4""X2 M GALV. EN CALIENTE",UND,2.0,W37403,SUROCCIDENTE,VITERBO,2019
230,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,1.0,W37403,SUROCCIDENTE,VITERBO,2019
231,211351,"VARILLA ANCLAJE 5/8"" X 1.8 M",UND,6.0,W37403,SUROCCIDENTE,VITERBO,2019
232,200081,POSTE METALICO 12*750,UND,2.0,W37403,SUROCCIDENTE,VITERBO,2019
233,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,6.0,W37403,SUROCCIDENTE,VITERBO,2019
234,211381,"PIN RECTO 5/8"" X 7.1/2""",UND,2.0,W37403,SUROCCIDENTE,VITERBO,2019
235,211401,GUARDACABOS 1/2,UND,6.0,W37403,SUROCCIDENTE,VITERBO,2019
236,213340,GRAPA RETENCION No. 2,UND,4.0,W37403,SUROCCIDENTE,VITERBO,2019
237,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,1.0,W37403,SUROCCIDENTE,VITERBO,2019
238,212853,CONECTOR DBH-8,UND,3.0,W37403,SUROCCIDENTE,VITERBO,2019
239,211354,"TUERCA DE OJO 5/8""",UND,4.0,W37403,SUROCCIDENTE,VITERBO,2019
240,200156,"AISLADOR TENSOR MEDIANO 4 1/4""",UND,6.0,W37403,SUROCCIDENTE,VITERBO,2019
242,200145,"AISLADOR PIN 7"" 15 KV",UND,2.0,W37403,SUROCCIDENTE,VITERBO,2019
243,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,120.0,W37403,SUROCCIDENTE,VITERBO,2019
244,213303,"ARANDELA PRESION GALV 5/8""",UND,40.0,W37403,SUROCCIDENTE,VITERBO,2019
245,213306,"ARANDELA REDONDA GALV 5/8""",UND,28.0,W37403,SUROCCIDENTE,VITERBO,2019
246,211391,"TORNILLO ESPACIADOR 5/8"" X 10""",UND,4.0,W37403,SUROCCIDENTE,VITERBO,2019
247,1684,"TORNILLO ESPACIADOR 5/8"" X 4""",UND,2.0,W37403,SUROCCIDENTE,VITERBO,2019
248,211439,"TORNILLO MAQ GALV 5/8"" X 2""",UND,6.0,W37403,SUROCCIDENTE,VITERBO,2019
249,211377,"GRAPA BAND IT 5/8""",UND,36.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
250,211371,"CINTA BAND IT 5/8""",M,18.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
251,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,5.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
252,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,2.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
253,220163,"RETAL PARA TEMPLETE (ÁNGULO GALVANIZADO 3""· X 1/4"" X 0.5 M)",UND,2.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
254,200002,POSTE CENTRIFUGADO 8 M,UND,1.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
255,211319,PERCHAS 1 PUESTO,UND,36.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
256,211401,GUARDACABOS 1/2,UND,2.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
257,209920,CONECT.PTA.TIERRA CU/A 5/8 AMP C.No.4 AWG,UND,5.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
259,212853,CONECTOR DBH-8,UND,11.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
260,212846,CONECTOR DBH-4,UND,6.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
261,216194,CAPUCHON PARA CONDUCTOR 2 AWG,UND,24.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
262,200155,"AISLADOR TENSOR PEQUENO 3 1/2""",UND,2.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
263,200151,"AISLADOR YOYO 3""",UND,36.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
264,200527,"CABLE ACERO GALVANIZADO 1/4"" ST",M,70.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
265,200499,CABLE TRIPLEX AL 2 x 2 + 2,M,367.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
266,200501,CABLE TRIPLEX AL 2/0 x 2 + 2/0,M,16.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
267,200500,CABLE TRIPLEX AL 1/0 x 2 + 1/0,M,25.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
268,200369,CABLE CU THW No. 1/0,M,6.0,O13075,SUROCCIDENTE,LA VIRGINIA,2019
269,211377,"GRAPA BAND IT 5/8""",UND,24.0,O13050,SUROCCIDENTE,LA VIRGINIA,2019
270,211371,"CINTA BAND IT 5/8""",M,12.0,O13050,SUROCCIDENTE,LA VIRGINIA,2019
271,218333,"CRUCETA SECUNDARIA 2""X1/4""X1.0 M GALV. EN CALIENTE",UND,2.0,O13050,SUROCCIDENTE,LA VIRGINIA,2019
272,211357,"VARILLA CONEXION TIERRA 5/8"" X 2.4 M",UND,2.0,O13050,SUROCCIDENTE,LA VIRGINIA,2019
273,211347,"VARILLA ANCLAJE 1/2"" X 1.5 M",UND,1.0,O13050,SUROCCIDENTE,LA VIRGINIA,2019
